PhraseID,Sentence,Phrase,count,WordCount,Sentiment,NegativityGI,PositivityGI,SentimentHE,NegativityHE,PositivityHE,SentimentLM,NegativityLM,PositivityLM,RatioUncertaintyLM,SentimentQDAP,NegativityQDAP,PositivityQDAP
769,1,very,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
770,1,guy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
770,1,nice,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1
771,1,guy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
772,1,saw,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
773,1,him,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
773,1,saw,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
774,1,him,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
775,1,concert,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
776,1,concert,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
776,1,right,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1
777,1,before,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
777,1,right,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1
778,1,before,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
778,1,the,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
779,1,pandemic,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
779,1,the,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
780,1,pandemic,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
781,1,madison,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
782,1,madison,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
782,1,square,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
783,1,garden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
783,1,square,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
784,1,garden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
784,1,the,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
785,1,last,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
785,1,the,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
786,1,enrique,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
786,1,last,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
787,1,enrique,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
787,1,iglesias,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
788,1,concert,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
788,1,iglesias,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
789,1,concert,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
790,1,saw,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
791,1,saw,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
792,1,madison,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
793,1,madison,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
793,1,square,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
794,1,garden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
794,1,square,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
795,1,garden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
796,1,fan,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
797,1,fan,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
797,1,jumped,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
798,1,jumped,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
798,1,the,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
799,1,fence,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
799,1,the,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
800,1,and,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
800,1,fence,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
801,1,and,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
801,1,tried,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0
802,1,tried,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0
803,1,pull,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
804,1,down,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
804,1,pull,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
805,1,down,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805,1,enrique’s,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
806,1,enrique’s,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
806,1,pants,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
807,1,guess,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
807,1,pants,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
808,1,guess,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
808,1,it’s,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
809,1,it’s,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
810,1,trend,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
811,1,trend,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
812,1,much,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
813,1,much,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
815,1,want,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
816,1,want,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
818,1,almost,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
819,1,almost,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
819,1,got,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
820,1,got,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
820,1,trampled,1,1,-1,1,0,0,0,0,0,0,0,0,-1,1,0
821,1,trampled,1,1,-1,1,0,0,0,0,0,0,0,0,-1,1,0
822,1,death,1,1,-1,1,0,0,0,0,0,0,0,0,-1,1,0
823,1,death,1,1,-1,1,0,0,0,0,0,0,0,0,-1,1,0
824,1,your,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
825,1,last,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
825,1,your,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
826,1,concert,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
826,1,last,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
827,1,concert,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
828,1,madison,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
829,1,madison,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
829,1,square,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
830,1,garden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
830,1,square,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
831,1,garden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
833,1,think,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
834,1,think,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
835,1,have,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
836,1,have,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
837,1,sit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
838,1,sit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
838,1,this,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
839,1,one,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
839,1,this,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
840,1,one,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
840,1,out,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
841,1,out,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
842,1,relatively,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
843,1,recent,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
843,1,relatively,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
844,1,concert,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
844,1,recent,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
845,1,concert,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
845,1,which,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
846,1,includes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
846,1,which,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
847,1,includes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
848,1,host,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
849,1,host,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
850,1,other,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
851,1,groups,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
851,1,other,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
852,1,groups,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
853,1,label,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
854,1,centric,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
854,1,label,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
855,1,centric,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
855,1,event,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
856,1,event,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
857,1,madison,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
858,1,madison,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
858,1,square,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
859,1,garden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
859,1,square,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
860,1,and,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860,1,garden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
861,1,and,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
861,1,not,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
862,1,not,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
863,1,stadium,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
864,1,sized,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
864,1,stadium,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
865,1,sized,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
865,1,venue,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
866,1,venue,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
866,1,yeah,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
867,1,okay,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
867,1,yeah,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
